07:58,Margate,Pass,L4-4-0,Hastings,S07.58:61,S08.05:63,S08.09:64,T08.12:66,,,,,,,,,,,,,,,,,,,,,,,
08:04,Victoria,Pass,EMU,Orpington,S08.04:1,S08.09:5,S08.12:8,S08.14:10,S08.16:11,S08.19:12,S08.21:14,S08.23:16,S08.26:19,S08.28/08.29:21,S08.32:23,T08.34:24,,,,,,,,,,,,,,,
08:08,Faversham,Pass,L4-4-0,Margate,S08.08:51,S08.18:54,S08.24:55,S08.29/08.30:56,S08.42:59,S08.48:60,T08.54:62,,,,,,,,,,,,,,,,,,,,
08:10,Holbourn V,Pass,EMU,Swanley,S08.39:18,S08.41/08.42:20,S08.45:22,S08.50:26,T08.55:27,,,,,,,,,,,,,,,,,,,,,,
08:10,Margate,Pass,T2-6-4,Ashford,S08.10:61,S08.17:63,S08.21:64,T08.24:66,,,,,,,,,,,,,,,,,,,,,,,
08:18,Holbourn V,Pass,EMU,Bickley,P08.28:8,P08.35:16,P08.37:19,T08.42:22,,,,,,,,,,,,,,,,,,,,,,,
08:18,Victoria,Pass,EMU,Gillingham,S08.18:1,P08.23:5,P08.25:8,P08.31:16,P08.33:19,S08.34/08.35:21,P08.38:23,S08.47:27,S08.52:29,S08.57:30,S09.01:31,S09.04:32,P09.09:34,P09.12:35,S09.13/09.14:38,S09.16/09.18:40,T09.21:201,,,,,,,,,,
08:22,Sheerness,Pass,2-6-2T,Sittingbourne,P08.40:508,P08.41:202,T08.42:47,S08.22:76,S08.27:77,S08.33:78,,,,,,,,,,,,,,,,,,,,,
08:24,Victoria,Pass,EMU,Orpington,S08.24:1,S08.29:5,S08.32:8,S08.34:10,S08.36:11,S08.39:12,S08.41:13,S08.43:16,S08.46:18,S08.49/08.49:20,S08.53:22,T08.55:24,,,,,,,,,,,,,,,
08:30,Holbourn V,Pass,EMU,Sevenoaks,S08.59:19,S09.01/09.02:21,S09.05:23,S09.10:26,T09.15:28,,,,,,,,,,,,,,,,,,,,,,
08:35,Victoria,XP,BRS4-6-0,Ramsgate,S08.35:1,P08.44:8,P08.52:16,P08.54:19,S08.55/08.57:21,P09.08:27,P09.18:32,P09.23:34,P09.27:35,S09.29/09.32:40,P09.35:41,P09.45:48,P09.53:52,S10.02:54,S10.11/10.14:56,S10.26:59,S10.31:60,S10.37/10.40:61,S10.48:63,S10.52:64,T10.56:66,,,,,,
08:35,Victoria,Pass,L4-4-0,Dover,S09.38:40,S09.42/09.43:41,S09.55/10.00:202,S10.11/10.14:52,S10.21:67,S10.32/10.34:68,S10.40:69,S10.46:70,S10.50:71,S10.54:72,S10.59:73,S11.06:74,T11.11:75,,,,,,,,,,,,,,
08:40,Hoo Junction,Goods,C0-6-0,??,P08.54:35,S09.02/09.55:36,P09.57:38,P10.00:40,P10.07:41,P10.25:43,P10.30:510,P10.32:508,T10.49:77,P10.36:80,,,,,,,,,,,,,,,,,
