07:08,Gillingham,Pass,EMU,Charing Cross,S07.08:127,S07.11/07.13:128,S07.14/07.15:130,T07.16:133,,,,,,,,,,,,,,,,,,,,,
07:08,Dover,Pass,BR4 2-6-0,Margate,S08.05:101,S08.09:103,S08.13:104,T08.19:105,,,,,,,,,,,,,,,,,,,,,
07:10,Sittingbourne,Pass,2-6-2T,Sheerness,,,,,,,,,,,,,,,,,,,,,,,,,
07:13,Gillingham,Pass,EMU,Victoria,S07.13:127,S07.16/07.19:128,S07.21/07.22:130,P07.24:133,S07.34:136,S07.36:137,S07.41:301,S07.46:139,S07.56:141,S08.01:142,S08.07/08.08:147,S08.11:149,P08.22:160,P08.23:163,T08.28:167,,,,,,,,,,
07:15,Bickley Jcn,Pass,EMU,Holbourn Viaduct,P07.15:144,S07.17:146,S07.19/07.20:148,S07.23:150,S07.25:152,S07.27:155,S07.30:156,S07.32:157,S07.35:158,T07.37:162,,,,,,,,,,,,,,,
07:16,Orpington,Pass,EMU,Holbourn Viaduct,P07.21:144,S07.23:146,S07.25/07.26:148,S07.28:150,S07.31:152,S07.33:155,S07.35:156,S07.38:157,S07.40:158,S07.44:161,T07.45:162,,,,,,,,,,,,,,
07:18,Gillingham,Pass,EMU,Charing Cross,S07.18:127,S07.11/07.13:128,S07.21/07.23:130,S07.27/07.25:132,T07.26:133,,,,,,,,,,,,,,,,,,,,
07:20,Ramsgate,XP,WC,Cannon St,S07.20:101,S07.24:103,S07.28:104,P07.34/07.37:106,S07.52/07.54:111,S08.02:114,P08.12:116,P08.20:120,P08.31:126,P08.34:128,P08.35:130,P08.36:133,P08.57:141,T09.02:143,,,,,,,,,,,
07:20,Dover,Boat,WC&LI,Victoria,P08.44:144,P08.47:148,P08.52:155,P09.03:161,P09.04:163,T09.10:167,,,,,,,,,,,,,,,,,,,
07:21,Orpington,Pass,EMU,Victoria,P07.26:144,S07.28:146,S07.30/07.31:148,S07.33:150,S07.36:152,S07.38:155,S07.40:156,S07.43:157,S07.45:158,S07.48:161,S07.50:163,T07.56:167,,,,,,,,,,,,,
07:22,Sevenoaks,Pass,EMU,Holbourn Viaduct,S07.45:141,S07.50:142,S07.54:145,S07.56/07.57:147,S08.00:149,,,,,,,,,,,,,,,,,,,,
07:26,Orpington,Pass,EMU,Holbourn Viaduct,P07.31:144,S07.33:146,S07.35/07.36:148,S07.38:150,S07.42:152,S07.44:155,S07.46:156,S07.49:157,S07.51:158,S07.53:161,,,,,,,,,,,,,,,
07:27,Gillingham,Pass,EMU,Cannon St,S07.27:127,S07.30/07.32:128,S07.33/07.34:130,T07.36:133,,,,,,,,,,,,,,,,,,,,,
07:34,Bickley,Pass,EMU,Holbourn Viaduct,S07.34:145,S07.36/07.37:147,T07.40:149,,,,,,,,,,,,,,,,,,,,,,
07:35,Ramsgate,XP,WC,Cannon St,S07.35:101,S07.39:103,S07.43:104,S07.49/07.51:106,S07.56:107,S08.01:108,S08.12/08.13:111,S08.18:113,S08.23:114,P08.33:116,P08.52:128,P08.53:130,P09.05:136,P09.15:141,T09.20:143,,,,,,,,,,
