Train,From,Class,Engine,Destination,1,2,3,4,5,6,7,8,9,10,11,200,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,205,31,204,32,33,34,35,36,37,38,39,40,41,201,42,203,43,44,76,77,78,79,80,81,45,46,47,202,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,168,169,170,171,172,173
05:23,Herne Hill,Goods,N2-6-0,Sole street,,,,,,,S05.23,,,,,,,,,,P05.45,,,P05.50,,,,,,,P06.09,P06.17,,,,,,S06.42/07.40,,,,P07.50,S08.00/08.55,P08.57,,P09.00,,P09.08,,,,,,,,,,,,,,,T09.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:24,Charing Cross,Pass,EMU,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P06.39,,,S06.40/06.41,,S06.43/06.45,,T06.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:27,Strood,Pass,EMU,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.29,,,S05.31,S05.32/05.34,,,T05.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:30,Hoo Junction,Goods,C0-6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.47,S05.50/07.16,,P07.20,,P07.24,P07.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:30,Margate,Pass,2-6-4T,Ashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.30,,S05.37,S05.41,,T05.44,,,,,,,,,,,,,,,
05:31,Sheerness,Pass,T2-6-2,Sittingbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.31,S05.37,S05.43,P,S05.47,P,P05.51,P05.53,T05.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:37,Beck Junc,Pass,EMU,Orpington,,,,,,,,,,,,,,,,,S05.37,,,P05.41,,S05.43/05.52,,S05.55,P05.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:37,Cannon Street,Pass,EMU,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:44,Victoria,Pass,EMU,Sevenoaks,S05.44,P,P,,S05.50,,,S05.52,,S05.55,S05.57,,S06.00,,S06.02,,S06.04,,,S06.07,,S06.08/06.09,,S06.12,,,S06.17,,T06.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:45,Chatham,Pass,T2-6-2,Faversham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.45,S05.50,,S05.56,,S06.02,P,,,,,,,,P,S06.08/06.16,,,P,S06.23,T06.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:50,Cannon Street,Pass,E 4-4-0,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:51,Holbourn V,Pass,EMU,Orpington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00,Holbourn V,Pass,EMU,Maidstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
