Train,From,Class,Engine,Destination,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,300,121,122,168,169,170,171,172,173,123,124,125,126,127,128,129,130,131,132,133,134,135,136,305,137,301,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,174,175,176,177,178,179,180,181,182
06:41,Sevenoaks,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.04,S07.09,,,S07.14,,S07.16/07.17,,S07.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:44,Faversham,pass,2-6-2T,Rochester,,,,,,,,,,,,,,,,S06.44,,S06.53,,S06.59/07.01,,,,,,,,,,,S07.08,S07.15,S07.20/07.22,,S07.26/07.28,,T07.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:53,Ramsgate,ECS,V4-4-0,Cannon St,S06.53,,,,,P07.07,,,,,,S07.27/08.20,S08.26,S08.31,,S08.41/08.42,,,,S08.53/08.54,,,,,,,,,,,,,P09.05,,S09.08/09.10,,P09.12,,,P09.13,,,P09.25,,,,,,,P09.35,,T09.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:56,Holbourn Viaduct,Pass,E1 4-4-0,Margate,S10.37,,S10.41,S10.45,T10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:58,Gillingham,pass,EMU,Cannon St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06.58,,S07.01/07.03,,S07.04/07.05,,,T07.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:00,Orpington,Pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P07.05,,S07.08,,S07.10/07.11,,S07.14,,S07.17,,,S07.19,S07.21,S07.24,S07.26,,,S07.29,,S07.31,,,,T07.36,,,,,,,,,
07:02,Canterbury,pass,L4-4-0,Margate,S07.42,,S07.46,S07.50,T07.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:06,Farningham Road,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.06,,S07.17,S07.22,,,S07.27,,S07.31/07.32,,S07.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:07,Ramsgate,pass,L4-4-0,Gillingham,,S07.07,S07.11,S07.15,,S07.21/07.23,S07.28,S07.33,,,S07.44/07.45,,S07.51,S07.56,,,S08.06/08.15,,,S08.26/08.27,,,,,,,,,,,,,,T08.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:08,Dover,pass,BR4 2-6-0,Margate,S08.05,,S08.09,S08.13,T08.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
